Image Number,Tract,Visit,Patch,xcoord,ycoord,ccdnum,Catalog ID
36,0,303589,25,1437.17515678,158.276776894,10,130390525592207454
37,0,303589,25,838.104239313,811.068975809,10,130390525592207464
38,0,303589,25,1763.81580578,1124.47436538,10,130390525592207471
39,0,303589,25,856.184194478,1131.93860165,10,130390525592207472
40,0,303589,25,1116.08617266,1307.96435457,10,130390525592207476
41,0,303589,25,1661.37415069,1376.90019987,10,130390525592207477
42,0,303589,25,1784.04127028,1581.10949377,10,130390525592207482
43,0,303589,25,1655.02055303,1766.97594867,10,130390525592207484
44,0,303589,25,1759.21863419,1887.16979656,10,130390525592207486
45,0,303589,25,453.053887086,2054.96679183,10,130390525592207488
46,0,303589,25,102.974339908,2752.84472969,10,130390525592207493
47,0,303589,25,1469.05457643,3032.99512353,10,130390525592207498
48,0,303589,25,1115.34032768,3048.61157883,10,130390525592207499
49,0,303589,25,837.907381817,3238.01831525,10,130390525592207502
50,0,303589,25,1519.02076676,3259.7780814,10,130390525592207503
51,0,303589,25,1816.97606522,3298.85815972,10,130390525592207504
52,0,303589,25,511.575578528,3368.47676861,10,130390525592207506
53,0,303589,25,140.938603128,3685.9387178,10,130390525592207511
54,0,303589,25,453.818350916,3701.68452434,10,130390525592207512
55,0,303589,25,142.044787483,3957.78954608,10,130390525592207516
56,0,303589,25,1467.13454689,4041.00316288,10,130390525592207518
57,0,303597,25,243.640709874,101.605169338,10,130393961566044255
58,0,303597,25,1422.33676526,133.171268578,10,130393961566044256
59,0,303597,25,1102.1687112,611.530561853,10,130393961566044264
60,0,303597,25,828.949161593,806.770186898,10,130393961566044267
61,0,303597,25,82.9669799378,1106.63683407,10,130393961566044273
62,0,303597,25,851.953737568,1127.21788154,10,130393961566044274
63,0,303597,25,1107.91078715,1303.73716364,10,130393961566044278
64,0,303597,25,1653.34705997,1371.40280681,10,130393961566044279
65,0,303597,25,104.17157047,1779.26978632,10,130393961566044286
66,0,303597,25,367.787313619,2422.05201443,10,130393961566044291
67,0,303597,25,91.794071715,2728.06836593,10,130393961566044293
68,0,303597,25,126.930313857,2800.30517868,10,130393961566044295
69,0,303597,25,1017.8409955,2802.04345048,10,130393961566044296
